Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary_USD,PTS,TRB,AST,STL,BLK,TOV,Cost_Per_WS,Performance_Trajectory,PNS,Salary_Gap
NAZ REID,25,MIN,C,80,17,2200,15.8,0.577,0.501,0.155,4.7,19.3,12.1,12.6,1.3,3,9.9,21.5,2.4,3.3,5.7,0.125,0.8,0.8,1.6,2,13986432,12.6,5,1.7,0.7,0.8,1.3,2453760,Rising - Above Avg,4.615,-5045839.329
TYUS JONES,28,PHO,PG,81,58,2174,14.5,0.585,0.587,0.083,2.1,7.8,5,27.7,1.6,0.3,11.4,16.2,4,0.3,4.4,0.096,1.4,-1.3,0.1,1.1,2087519,12.6,2.6,6.3,1,0.2,1.3,474436.1,Peak - Below Avg,7.075,-12604058.87
MYLES TURNER,28,IND,C,72,72,2174,16.1,0.612,0.486,0.293,4.7,19.4,12.1,7.1,1.2,6,11.8,20.7,1.8,2.9,4.7,0.104,0,0.4,0.4,1.3,19928500,15.1,7.1,1.6,0.8,2,2.2,4240106.4,Peak - Below Avg,6.225,4235223.641
EVAN MOBLEY,23,CLE,PF,71,71,2167,22.3,0.633,0.254,0.337,8.4,24,16.5,15.1,1.4,4.7,12.2,23.2,5.3,3.8,9,0.2,3.1,1.5,4.6,3.6,11227657,18.9,8.8,2.9,1,1.5,2.1,1247517.4,Rising - Above Avg,7.46,-18823297.73
TAUREAN PRINCE,30,MIL,SF,80,73,2166,9.8,0.613,0.652,0.093,1.8,12.2,7.2,9.4,1.7,0.6,13.3,12.5,1.3,2.2,3.5,0.077,-2,0.3,-1.7,0.1,2087519,7.5,4,1.7,0.9,0.2,1.2,596434,Veteran - Below Avg,3.745,-9598963.395
STEPHON CASTLE,20,SAS,SG,81,47,2162,13.7,0.522,0.337,0.348,4.4,10.3,7.4,22.8,1.7,0.9,13.4,26,0.1,1,1.1,0.025,-1.5,-1.7,-3.2,-0.6,9105120,10.9,2.5,3.6,0.8,0.3,1.8,8277381.8,Rising - Below Avg,5.485,5432225.533
DENI AVDIJA,24,POR,SF,72,54,2161,17.7,0.605,0.405,0.441,5.4,21.2,13.1,19.9,1.6,1.5,16.3,23.2,3.1,2.5,5.6,0.124,1.5,0.6,2.1,2.2,15625000,13.6,5.9,3.2,0.9,0.7,2.3,2790178.6,Rising - Above Avg,6.4,-3073371.832
JAYLEN BROWN,28,BOS,SF,63,63,2158,17.8,0.555,0.32,0.288,4.1,14.4,9.3,21.4,1.7,0.8,11.4,28.9,2.3,2.9,5.2,0.115,0.4,-0.4,0,1.1,49205800,24.4,6,4.6,1.4,0.3,2.8,9462653.8,Peak - Above Avg,9.98,31843026.16
TIM HARDAWAY JR.,32,DET,SG,77,77,2153,9.8,0.567,0.672,0.213,0.9,8.4,4.7,7.6,0.8,0.3,6.1,15.5,2.1,1.4,3.5,0.077,-1.1,-0.9,-2.1,0,16193183,10.1,2,1.6,0.4,0,0.7,4626623.7,Veteran - Below Avg,4.375,4506700.605
BENNEDICT MATHURIN,22,IND,SF,72,49,2149,13.6,0.579,0.338,0.389,4.6,15.2,9.9,8.8,1.1,1,11.9,22.8,1.3,1.8,3,0.068,-1.3,-1.5,-2.9,-0.5,7245720,16.7,6.1,1.8,0.7,0.4,2.1,2415240,Rising - Below Avg,7.04,-2771264.91
SPENCER DINWIDDIE,31,DAL,PG,79,30,2136,13,0.553,0.478,0.356,0.9,9.5,5.3,22.1,1.6,0.7,11.4,17.9,2.4,1.2,3.7,0.082,-0.9,-0.7,-1.6,0.2,2087519,9.1,2.2,3.4,0.8,0.2,1,564194.3,Veteran - Below Avg,4.755,-10266762.39
SCOTTIE BARNES,23,TOR,PF,65,65,2134,17.8,0.523,0.263,0.284,5.3,20.2,12.6,27.7,2.1,2.8,13.4,27,0.6,2.9,3.5,0.078,1.5,0.9,2.4,2.3,10130980,20.4,8.3,6.6,1.4,0.6,3.7,2894565.7,Rising - Below Avg,7.375,-1555502.395
MAX CHRISTIE,21,TOT,SG,78,36,2127,10.4,0.57,0.532,0.258,2,11.2,6.7,9.2,1.5,1.3,11.8,15.2,1.1,1.6,2.7,0.06,-2.1,-0.5,-2.5,-0.3,7142857,7.8,2.4,1.3,0.9,0.4,0.7,2645502.6,Rising - Below Avg,3.605,-1872429.419
JOSH GIDDEY,22,CHI,PG,70,69,2117,18.1,0.57,0.348,0.281,6.4,21.4,14,32.9,1.9,1.8,18.4,21.7,2.8,2.5,5.3,0.121,1.9,1.1,3,2.7,8352367,12.1,6.9,6.8,1,0.5,2.7,1575918.3,Rising - Above Avg,7.505,-9344306.341
FRED VANVLEET,30,HOU,PG,60,60,2111,12.8,0.515,0.607,0.181,1.6,9.7,5.6,21.2,2.2,1.1,9.6,17.7,2.4,2.8,5.2,0.119,-0.4,1.3,0.9,1.5,42846615,14.8,4.5,5.9,1.5,0.5,1.5,8239733.7,Veteran - Above Avg,7.995,25483841.16
KEYONTE GEORGE,21,UTA,PG,67,35,2109,12.9,0.539,0.552,0.31,1.3,11.5,6.5,26.9,1,0.4,14.9,24.3,0.9,0.1,1.1,0.024,-0.2,-2.5,-2.7,-0.3,4084200,15.8,3.3,5.7,0.7,0.2,3.3,3712909.1,Rising - Below Avg,7.995,411305.5329
DAMIAN LILLARD,34,MIL,PG,58,58,2093,21.3,0.621,0.528,0.396,1.6,12.1,7.1,29.7,1.6,0.4,12.2,27.8,5.6,2,7.6,0.175,4.7,-0.6,4,3.2,48787676,25.1,4.5,7.6,1.1,0.2,2.9,6419431.1,Veteran - Above Avg,12.115,23411314.23
RUSSELL WESTBROOK,36,DEN,PG,75,36,2092,14.3,0.532,0.35,0.28,5.6,13.4,9.7,28.8,2.4,1.6,20.6,23.8,-0.1,2.1,1.9,0.045,-0.9,-0.2,-1.1,0.5,5631296,12.1,4.5,6.7,1.7,0.5,2.7,2963840,Veteran - Below Avg,7.37,-712794.4431
KELLY OUBRE JR.,29,PHI,SF,60,57,2078,13.5,0.551,0.327,0.25,5.1,15.4,10,7.9,2.2,1.4,8.9,18.9,1.2,1.4,2.6,0.061,-1.7,-0.6,-2.3,-0.1,7983000,12.8,5.7,1.5,1.4,0.5,1.3,3070384.6,Peak - Below Avg,5.825,-698386.9222
NICKEIL ALEXANDER-WALKER,26,MIN,SG,82,10,2073,11.6,0.579,0.601,0.192,2.9,11.1,7.1,15,1.2,1.5,12.9,16,2,2.3,4.3,0.099,-0.8,0.4,-0.4,0.8,4312500,9.2,2.8,2.4,0.8,0.3,1.4,1002907,Peak - Below Avg,4.5,-10045178.37
LUGUENTZ DORT,25,OKC,SF,71,71,2073,11.3,0.586,0.696,0.078,4.7,10.3,7.6,6.9,1.8,1.9,7.7,13.6,2.4,3.2,5.6,0.129,-0.6,0.8,0.2,1.2,16500000,9.8,4.5,1.6,1.2,0.7,0.5,2946428.6,Rising - Above Avg,4.635,-2198371.832
ONYEKA OKONGWU,24,ATL,C,74,40,2064,19,0.634,0.216,0.316,11.4,24,17.5,11.4,1.6,3,10.4,17.3,4.9,2.3,7.2,0.168,1.2,0.2,1.3,1.7,14000000,11.5,6.7,1.4,0.7,0.7,0.8,1944444.4,Rising - Above Avg,4.96,-10040763.78
MALIK MONK,26,SAC,SG,65,45,2054,15,0.549,0.456,0.19,1.6,11.7,6.7,25.7,1.5,1.8,13.5,24.6,1.3,1.4,2.8,0.065,0.3,-1.1,-0.8,0.6,17405203,16.5,3.6,4.9,0.8,0.5,1.9,6216143.9,Peak - Below Avg,8.01,8056017.084
JAYLEN WELLS,21,MEM,SG,79,74,2043,10.5,0.56,0.58,0.2,4.6,9.3,6.9,8.4,1,0.4,8.6,15.9,2.1,1.4,3.5,0.083,-1.2,-1,-2.2,-0.1,1157153,11.8,3.3,1.7,0.5,0.1,1.2,330615.1,Rising - Above Avg,5.155,-10529329.4
JALEN DUREN,21,DET,C,78,78,2034,21.4,0.703,0,0.443,15.2,28.7,22,14.7,1.3,4.2,17.2,16.4,5.9,3.4,9.2,0.218,1.6,1.5,3.1,2.7,4536840,9.6,9.4,2.2,0.5,1.2,1.9,493134.8,Rising - Above Avg,5.645,-26181913.72
JALEN WILSON,24,BRK,PF,79,22,2031,9.5,0.541,0.584,0.266,4,11.4,7.5,10.8,1,0.2,10.2,16.6,0.9,1,1.9,0.046,-2.6,-1.3,-3.9,-1,1891857,9.3,3.3,1.8,0.5,0,1,995714.2,Rising - Below Avg,3.09,-4452233.443
MILES BRIDGES,26,CHO,PF,64,64,2029,17.7,0.541,0.413,0.233,3.7,21.9,12.6,21.7,1.1,2.2,10.2,28,1.3,1.8,3.2,0.075,2.3,-0.5,1.8,2,27173913,18.1,7.8,3.7,0.7,0.7,2.1,8491847.8,Peak - Below Avg,6.665,16489129.1
DAVION MITCHELL,26,TOT,PG,74,37,2027,10.2,0.573,0.443,0.176,1.9,7.1,4.5,24.2,1.7,0.8,20,13.6,1.3,1.6,3,0.07,-2.8,0.2,-2.6,-0.3,6451077,6.4,2.1,4.7,0.8,0.2,1.8,2150359,Peak - Below Avg,4.255,-3565907.91
FRANZ WAGNER,23,ORL,SF,60,60,2023,20.1,0.558,0.303,0.268,3,17.1,9.7,26.6,1.9,1,9.6,31,2.6,3.1,5.6,0.133,2.6,0.5,3.1,2.6,7007092,24.4,5.6,5.7,1.7,0.5,2.4,1251266.4,Rising - Above Avg,10.165,-11691279.83
QUENTIN GRIMES,24,TOT,SG,75,37,2013,15.9,0.595,0.512,0.26,3.2,14.7,8.9,17.7,1.8,1,13.3,22.8,2,1.4,3.4,0.081,1.3,-0.9,0.4,1.2,4296682,10.1,4,1.8,0.6,0.3,1.2,1263730,Rising - Above Avg,4.685,-7055900.898
JORDAN POOLE,25,WAS,SG,68,68,2001,16.6,0.591,0.588,0.259,1.6,9,5.3,25.6,2,1.2,14.8,29,1.2,0.8,2,0.047,2,-1.6,0.4,1.2,29651786,21.8,2.7,5,1.6,0.5,3.6,14825893,Rising - Below Avg,9.97,22973796.06
DRAYMOND GREEN,34,GSW,PF,68,66,1983,12.4,0.534,0.483,0.289,3.9,19,11.2,26.2,2.4,3.4,23.3,15.9,0.3,3.4,3.7,0.088,-2.3,2.8,0.5,1.3,24107143,8.7,6.3,5.7,1,1.1,2.5,6515444.1,Veteran - Below Avg,4.425,11752861.61
DEVIN VASSELL,24,SAS,SG,64,53,1983,14.2,0.553,0.483,0.135,1.8,12,6.9,13.8,2,1.5,8.5,22.1,0.9,1.3,2.2,0.054,-0.3,-0.8,-1.1,0.4,29347826,15.5,3.2,3,1.2,0.4,1.4,13339920.9,Rising - Below Avg,7.035,22002037.07
KLAY THOMPSON,34,DAL,SF,72,72,1965,12.9,0.552,0.631,0.084,2.5,11,6.8,10.7,1.2,1.3,8.8,21.8,0.7,1.1,1.8,0.045,0.7,-1.6,-1,0.5,15873016,14.2,3.5,1.9,1,0.4,1.3,8818342.2,Veteran - Below Avg,5.705,9862825.054
TYRESE MAXEY,24,PHI,PG,52,52,1960,19.5,0.562,0.438,0.265,0.8,9.6,5,28,2.3,1.1,9.2,29.8,2.9,1,3.8,0.094,3.2,-1.1,2,2,35147000,25.5,3.5,5.4,2.2,0.5,2.3,9249210.5,Rising - Above Avg,11.605,22458819.11
